layer_rank,concept_u_id,concept_v_id,concept_u,concept_v,u_type,v_type,semantic_similarity,degree_u,degree_v,degree_min,degree_max,document_frequency_u,document_frequency_v,frequency_min,frequency_max,frequency_balance,recent_frequency_u,recent_frequency_v,recent_frequency_sum,trend_u,trend_v,age_u,age_v,common_neighbors,jaccard,adamic_adar,preferential_attachment,shortest_path,same_component,same_type,material_material_pair,material_mechanism_pair,mechanism_mechanism_pair,tg_history_frequency_u,tg_history_frequency_v,tg_history_frequency_sum,tg_both_concepts_seen,cutoff_year,future_window,future_edge_label,logistic_score,random_forest_score,ml_score,graph_score,hybrid_score,predicted_class,hybrid_rank,concept_u_layer,concept_v_layer,pair_layer,pair_layer_name
1,C2866DCD56B,C872881EC3C,PEDOT,gel-confined redox transport,material_entity,gel_microstructure,0.2859504222869873,44,19,19,44,55,8,8,55,0.1454545454545454,34,8,42,6.0,2.6666666666666665,10,2,9,0.1666666666666666,2.6903665054667996,836,1,1,0,0,1,0,2,7,9,1,2022,2023-2026,1,0.8874257422708061,0.20531215368821,0.9043613707165108,0.6883073727933542,0.8936656282450675,1,14,M,P,M-P,material-physicochemical mechanism
2,C4B2BA55977,C7932B1CE8C,KNO3,chaotropic polymer-water disruption,material_entity,gel_microstructure,0.1484483033418655,10,17,10,17,2,4,2,4,0.5,2,2,4,0.6666666666666666,0.0,2,4,6,0.2857142857142857,2.0679485123441186,170,1,1,0,0,1,0,2,5,7,1,2022,2023-2026,0,0.9312672864662904,0.4737818573686709,0.987435098650052,0.4704049844236759,0.8847352024922119,1,20,M,P,M-P,material-physicochemical mechanism
3,C08389FD6C6,C37031A3390,moisture-gradient ion transport,cellulose,transport_mechanism,material_entity,0.1436583399772644,33,22,22,33,27,12,12,27,0.4444444444444444,17,10,27,3.6666666666666665,2.6666666666666665,20,5,10,0.2222222222222222,3.596955373152233,726,1,1,0,0,1,0,4,1,5,1,2022,2023-2026,1,0.6243449899247636,0.1983998028852723,0.8838006230529596,0.6821079958463135,0.8755970924195223,1,26,P,M,M-P,material-physicochemical mechanism
4,C3002C089A5,C9642D16DCA,ionic thermodiffusion (Soret effect),graphene oxide,transport_mechanism,material_entity,0.1109283044934272,46,18,18,46,42,9,9,42,0.2142857142857142,26,5,31,5.666666666666667,1.0,23,10,8,0.1428571428571428,2.3598916597953012,828,1,1,0,0,1,0,15,4,19,1,2022,2023-2026,1,0.9080371201795776,0.2208614712907158,0.9206645898234684,0.5785877466251297,0.8724818276220145,1,34,P,M,M-P,material-physicochemical mechanism
5,C3970EB273E,CA8C62A4868,gelatin,redox reaction entropy,material_entity,solvation_entropy,0.0810289531946182,21,19,19,21,7,7,7,7,1.0,7,4,11,2.3333333333333335,0.6666666666666666,2,8,6,0.1764705882352941,1.82617448645454,399,1,1,0,0,1,0,4,11,15,1,2022,2023-2026,0,0.9799649753485512,0.340796048821756,0.97331256490135,0.4597819314641744,0.8718587746625129,1,35,M,P,M-P,material-physicochemical mechanism
6,C6181968680,C7932B1CE8C,graphene,chaotropic polymer-water disruption,material_entity,gel_microstructure,0.1059188544750213,28,17,17,28,19,4,4,19,0.2105263157894736,12,2,14,3.0,0.0,10,4,5,0.125,1.5248392833597442,476,1,1,0,0,1,0,6,5,11,1,2022,2023-2026,0,0.889381827768724,0.4005811272058291,0.9764278296988578,0.4065316718587746,0.8544132917964694,1,44,M,P,M-P,material-physicochemical mechanism
7,C08389FD6C6,C9642D16DCA,moisture-gradient ion transport,graphene oxide,transport_mechanism,material_entity,0.0532318167388439,33,18,18,33,27,9,9,27,0.3333333333333333,17,5,22,3.6666666666666665,1.0,20,10,8,0.1860465116279069,2.335081248856851,594,1,1,0,0,1,0,4,4,8,1,2022,2023-2026,0,0.6053884691874172,0.2115090863594298,0.8944963655244029,0.5667497403946001,0.85067497403946,1,47,P,M,M-P,material-physicochemical mechanism
8,C275FB7C4B0,CDF78985483,iodide/triiodide redox chemistry,nanocomposite,redox_chemistry,material_system,0.0422836877405643,21,21,21,21,18,13,13,18,0.7222222222222222,9,7,16,1.6666666666666667,0.3333333333333333,12,5,6,0.1666666666666666,2.1773512435933915,441,1,1,0,0,1,0,8,1,9,1,2022,2023-2026,0,0.8257901320070719,0.2306072519996929,0.9215991692627206,0.4946417445482866,0.8456905503634476,1,51,P,M,M-P,material-physicochemical mechanism
9,C46747A02A1,C78B8F896F7,ion-pairing and complexation,polyacrylamide (PAM),solvation_entropy,material_entity,0.1518292129039764,31,9,9,31,16,3,3,16,0.1875,8,3,11,1.0,1.0,11,0,5,0.1428571428571428,2.002081389198203,279,1,1,0,0,1,0,4,2,6,1,2022,2023-2026,1,0.7362433413730329,0.2920299181880861,0.945067497403946,0.4399688473520249,0.8452751817237799,1,52,P,M,M-P,material-physicochemical mechanism
10,C6210B1A223,C872881EC3C,reduced graphene oxide,gel-confined redox transport,material_entity,gel_microstructure,0.1178820580244064,7,19,7,19,3,8,3,8,0.375,3,8,11,1.0,2.6666666666666665,2,2,4,0.1818181818181818,1.1785180068361372,133,1,1,0,0,1,0,3,7,10,1,2022,2023-2026,0,0.9594734145558116,0.5642649718725038,0.9954309449636553,0.3376947040498442,0.8448598130841122,1,53,M,P,M-P,material-physicochemical mechanism
11,C275FB7C4B0,C37031A3390,iodide/triiodide redox chemistry,cellulose,redox_chemistry,material_entity,0.0595256239175796,21,22,21,22,18,12,12,18,0.6666666666666666,9,10,19,1.6666666666666667,2.6666666666666665,12,5,6,0.1621621621621621,2.8500771091490877,462,1,1,0,0,1,0,8,1,9,1,2022,2023-2026,0,0.826813203596629,0.1974668134351632,0.8936656282450675,0.540301142263759,0.8388369678089305,0,59,P,M,M-P,material-physicochemical mechanism
12,C1DF01A6473,C872881EC3C,PEDOT:PSS,gel-confined redox transport,material_entity,gel_microstructure,0.2790831923484802,36,19,19,36,46,8,8,46,0.1739130434782608,30,8,38,6.333333333333333,2.6666666666666665,10,2,8,0.1702127659574468,2.3609105816834965,684,1,1,0,0,1,0,0,7,7,0,2022,2023-2026,1,0.858544421979629,0.1678924934002053,0.854932502596054,0.6515160955347871,0.8388369678089304,0,60,M,P,M-P,material-physicochemical mechanism
13,C3002C089A5,C7B823B5BB0,ionic thermodiffusion (Soret effect),poly(vinyl alcohol) (PVA),transport_mechanism,material_entity,0.1631841659545898,46,22,22,46,42,11,11,42,0.2619047619047619,26,6,32,5.666666666666667,1.3333333333333333,23,8,10,0.1724137931034483,3.965913099981611,1012,1,1,0,0,1,0,15,2,17,1,2022,2023-2026,1,0.8979310983224766,0.1530288730303094,0.832294911734164,0.6978296988577363,0.8361370716510903,0,67,P,M,M-P,material-physicochemical mechanism
14,C2866DCD56B,CBFAB31D6E6,PEDOT,electrostatic interaction,material_entity,solvation_entropy,0.2764385342597961,44,16,16,44,55,6,6,55,0.109090909090909,34,3,37,6.0,0.6666666666666666,10,7,4,0.0714285714285714,1.3464423268098455,704,1,1,0,0,1,0,2,1,3,1,2022,2023-2026,1,0.6919449542927559,0.2453369814259171,0.9250259605399792,0.4546209761163031,0.8348909657320873,0,69,M,P,M-P,material-physicochemical mechanism
15,C10C4FF4B6C,C6181968680,hydrogen bonding,graphene,solvation_entropy,material_entity,0.157698780298233,18,28,18,28,8,19,8,19,0.4210526315789473,3,12,15,0.3333333333333333,3.0,18,10,5,0.1219512195121951,1.5318191509633117,504,1,1,0,0,1,0,5,6,11,1,2022,2023-2026,0,0.5663807239046155,0.2862358394313552,0.933852544132918,0.4262097611630321,0.8307372793354103,0,72,P,M,M-P,material-physicochemical mechanism
16,C5DEA4DF37C,CFBB5A400A1,Zn4Sb3,cation-anion thermodiffusion asymmetry,material_entity,transport_mechanism,0.1335853636264801,8,8,8,8,5,5,5,5,1.0,4,3,7,1.0,0.6666666666666666,5,6,4,0.3333333333333333,1.1051071389349547,64,1,1,0,0,1,0,0,3,3,0,2022,2023-2026,0,0.8616884740516102,0.4080361890182934,0.9759086188992732,0.3382346832814122,0.8301142263759086,0,73,M,P,M-P,material-physicochemical mechanism
17,C10C4FF4B6C,C4B2BA55977,hydrogen bonding,KNO3,solvation_entropy,material_entity,0.2269980609416961,18,10,10,18,8,2,2,8,0.25,3,2,5,0.3333333333333333,0.6666666666666666,18,2,4,0.1666666666666666,1.4185591805406457,180,1,1,0,0,1,0,5,2,7,1,2022,2023-2026,0,0.7261781767540666,0.3159362005580718,0.9511941848390448,0.3746313603322949,0.8299065420560748,0,74,P,M,M-P,material-physicochemical mechanism
18,C00DD823894,C65E336E20C,organic redox molecular design,TEMPO,redox_chemistry,material_entity,0.535311222076416,10,6,6,10,8,2,2,8,0.25,3,2,5,0.3333333333333333,0.6666666666666666,9,0,5,0.4545454545454545,1.8492110244858275,60,1,1,0,0,1,0,2,0,2,0,2022,2023-2026,1,0.7926312905322549,0.1999953042130925,0.8944963655244029,0.504257528556594,0.8288681204569055,0,75,P,M,M-P,material-physicochemical mechanism
19,C275FB7C4B0,CCFD9A81EEE,iodide/triiodide redox chemistry,solid electrolyte,redox_chemistry,material_system,0.2095546275377273,21,11,11,21,18,8,8,18,0.4444444444444444,9,3,12,1.6666666666666667,0.6666666666666666,12,25,3,0.1034482758620689,1.270160320926264,231,1,1,0,0,1,0,8,1,9,1,2022,2023-2026,0,0.542204245845816,0.453712215566026,0.963343717549325,0.3369055036344755,0.8230529595015577,0,81,P,M,M-P,material-physicochemical mechanism
20,C188B56F6F1,C37031A3390,ion-selectivity membrane transport,cellulose,transport_mechanism,material_entity,0.0976446121931076,42,22,22,42,23,12,12,23,0.5217391304347826,11,10,21,2.0,2.6666666666666665,23,5,13,0.2549019607843137,4.756471715471733,924,1,1,0,0,1,0,9,1,10,1,2022,2023-2026,0,0.5582512447609304,0.1441261687076688,0.8079958463136033,0.7150259605399791,0.8228452751817238,0,83,P,M,M-P,material-physicochemical mechanism
