layer_recommendation_rank,concept_u_id,concept_v_id,concept_u,concept_v,u_type,v_type,semantic_similarity,degree_u,degree_v,degree_min,degree_max,document_frequency_u,document_frequency_v,frequency_min,frequency_max,frequency_balance,recent_frequency_u,recent_frequency_v,recent_frequency_sum,trend_u,trend_v,age_u,age_v,common_neighbors,jaccard,adamic_adar,preferential_attachment,shortest_path,same_component,same_type,material_material_pair,material_mechanism_pair,mechanism_mechanism_pair,tg_history_frequency_u,tg_history_frequency_v,tg_history_frequency_sum,tg_both_concepts_seen,cutoff_year,future_window,future_edge_label,logistic_score,random_forest_score,ml_score,graph_score,hybrid_score,predicted_class,hybrid_rank,concept_u_layer,concept_v_layer,pair_layer,pair_layer_name,task
1,C2866DCD56B,C621A7A9629,PEDOT,polyurethane (PU),material_entity,material_entity,0.6088621616363525,44,8,8,44,55,5,5,55,0.0909090909090909,34,5,39,6.0,1.6666666666666667,10,2,7,0.1555555555555555,2.330242949724476,352,1,1,1,1,0,0,2,0,2,0,2022,2023-2026,0,0.5296321522699793,0.303251561681152,0.9403946002076842,0.6442990654205607,0.9086188992731048,1,12,M,M,M-M,material-material,iTE-to-TG
2,C6181968680,CDF78985483,graphene,nanocomposite,material_entity,material_system,0.3817625641822815,28,21,21,28,19,13,13,19,0.6842105263157895,12,7,19,3.0,0.3333333333333333,10,5,9,0.225,3.00017294243898,588,1,1,0,1,0,0,6,1,7,1,2022,2023-2026,0,0.7388901287707661,0.1855957124220648,0.8769470404984424,0.7045067497403945,0.8743509865005192,1,29,M,M,M-M,material-material,iTE-to-TG
3,C2866DCD56B,C3F66DD37CA,PEDOT,H2O,material_entity,material_entity,0.3368484377861023,44,11,11,44,55,4,4,55,0.0727272727272727,34,2,36,6.0,0.6666666666666666,10,8,5,0.1,1.8474634566628576,484,1,1,1,1,0,0,2,2,4,1,2022,2023-2026,0,0.4629745658481387,0.2794421116238506,0.92398753894081,0.5303219106957424,0.8583592938733126,1,42,M,M,M-M,material-material,iTE-to-TG
4,C2866DCD56B,CDDD624085F,PEDOT,deep-eutectic eutogel electrolyte,material_entity,material_system,0.3502462208271026,44,11,11,44,55,4,4,55,0.0727272727272727,34,1,35,6.0,0.0,10,7,8,0.1702127659574468,2.6545009052907886,484,1,1,0,1,0,0,2,0,2,0,2022,2023-2026,0,0.3863697292542543,0.1914081209895836,0.8623052959501557,0.6653997923156801,0.8525441329179646,1,45,M,M,M-M,material-material,iTE-to-TG
5,C3970EB273E,C9910E60ABA,gelatin,carbon nanotube,material_entity,material_entity,0.3244827091693878,21,28,21,28,7,33,7,33,0.2121212121212121,7,20,27,2.3333333333333335,4.666666666666667,2,13,6,0.1395348837209302,2.3382350099676934,588,1,1,1,1,0,0,4,11,15,1,2022,2023-2026,0,0.6341029662243931,0.204424975573749,0.8898234683281413,0.5973416407061267,0.8523364485981308,1,46,M,M,M-M,material-material,iTE-to-TG
6,C2866DCD56B,C7802AE4324,PEDOT,deep eutectic solvent,material_entity,material_system,0.3269493877887726,44,11,11,44,55,4,4,55,0.0727272727272727,34,1,35,6.0,0.0,10,7,8,0.1702127659574468,2.6545009052907886,484,1,1,0,1,0,0,2,0,2,0,2022,2023-2026,0,0.3786733731544726,0.1900828368986745,0.8607476635514019,0.6627829698857736,0.8500519210799585,1,48,M,M,M-M,material-material,iTE-to-TG
7,C3970EB273E,C78B8F896F7,gelatin,polyacrylamide (PAM),material_entity,material_entity,0.5049944519996643,21,9,9,21,7,3,3,7,0.4285714285714285,7,3,10,2.3333333333333335,1.0,2,0,3,0.1111111111111111,1.080845430228495,189,1,1,1,1,0,0,4,2,6,1,2022,2023-2026,0,0.8829860669819289,0.3366464627058825,0.9665628245067498,0.3713084112149533,0.8377985462097612,0,62,M,M,M-M,material-material,iTE-to-TG
8,C1DF01A6473,C3F66DD37CA,PEDOT:PSS,H2O,material_entity,material_entity,0.3124342858791351,36,11,11,36,46,4,4,46,0.0869565217391304,30,2,32,6.333333333333333,0.6666666666666666,10,8,5,0.119047619047619,1.832665513323679,396,1,1,1,1,0,0,0,2,2,0,2022,2023-2026,0,0.3851690425633811,0.1933756883511454,0.8659397715472481,0.5236552440290758,0.8085150571131879,0,101,M,M,M-M,material-material,iTE-to-TG
9,C4B2BA55977,C7B823B5BB0,KNO3,poly(vinyl alcohol) (PVA),material_entity,material_entity,0.3960339426994324,10,22,10,22,2,11,2,11,0.1818181818181818,2,6,8,0.6666666666666666,1.3333333333333333,2,8,4,0.1428571428571428,1.4410199836531667,220,1,1,1,1,0,0,2,2,4,1,2022,2023-2026,0,0.5094347241931801,0.2172728068489367,0.8954309449636553,0.4198442367601246,0.7995846313603323,0,113,M,M,M-M,material-material,iTE-to-TG
10,C06F57A9BCA,C9910E60ABA,polymer electrolyte,carbon nanotube,material_system,material_entity,0.2942856848239898,13,28,13,28,9,33,9,33,0.2727272727272727,4,20,24,0.6666666666666666,4.666666666666667,19,13,4,0.1081081081081081,1.1968545152218155,364,1,1,0,1,0,0,2,11,13,1,2022,2023-2026,0,0.3014268016110233,0.2195520133893164,0.8842159916926272,0.4298234683281411,0.7937694704049845,0,119,M,M,M-M,material-material,iTE-to-TG
11,C6D6399FFC8,CDBBD5033EA,HfS2,HfSe2,material_entity,material_entity,0.9735228419303894,9,9,9,9,2,2,2,2,1.0,2,2,4,0.6666666666666666,0.6666666666666666,2,2,8,0.8,3.7790356582513978,81,1,1,1,1,0,0,0,0,0,0,2022,2023-2026,0,0.8814706620250881,0.1202377142982037,0.7850467289719627,0.6638629283489097,0.7860851505711319,0,127,M,M,M-M,material-material,iTE-to-TG
12,C2866DCD56B,C2AB2ABA9A6,PEDOT,dimethyl sulfoxide (DMSO),material_entity,material_entity,0.2866294682025909,44,12,12,44,55,7,7,55,0.1272727272727272,34,1,35,6.0,-1.3333333333333333,10,9,8,0.1666666666666666,2.5076870894774004,528,1,1,1,1,0,0,2,1,3,1,2022,2023-2026,0,0.3973284625133035,0.1398509532347706,0.7910695742471443,0.6489511941848389,0.7858774662512982,0,128,M,M,M-M,material-material,iTE-to-TG
13,C06F57A9BCA,C7B823B5BB0,polymer electrolyte,poly(vinyl alcohol) (PVA),material_system,material_entity,0.5189489722251892,13,22,13,22,9,11,9,11,0.8181818181818182,4,6,10,0.6666666666666666,1.3333333333333333,19,8,7,0.25,2.872365035098781,286,1,1,0,1,0,0,2,2,4,1,2022,2023-2026,0,0.5185145692573018,0.1321390352139807,0.7911734164070613,0.647227414330218,0.7858774662512981,0,130,M,M,M-M,material-material,iTE-to-TG
14,C1DF01A6473,CDDD624085F,PEDOT:PSS,deep-eutectic eutogel electrolyte,material_entity,material_system,0.3447910249233246,36,11,11,36,46,4,4,46,0.0869565217391304,30,1,31,6.333333333333333,0.0,10,7,7,0.175,2.158804614988622,396,1,1,0,1,0,0,0,0,0,0,2022,2023-2026,0,0.4291497354316266,0.1438539505077399,0.7973520249221183,0.6158151609553479,0.7833852544132919,0,132,M,M,M-M,material-material,iTE-to-TG
15,C9642D16DCA,CDF78985483,graphene oxide,nanocomposite,material_entity,material_system,0.3802064657211303,18,21,18,21,9,13,9,13,0.6923076923076923,5,7,12,1.0,0.3333333333333333,10,5,7,0.21875,2.188511234084975,378,1,1,0,1,0,0,4,1,5,1,2022,2023-2026,0,0.5962226867775782,0.1397419907755203,0.8024922118380062,0.601111111111111,0.7819314641744548,0,133,M,M,M-M,material-material,iTE-to-TG
16,C1DF01A6473,C7802AE4324,PEDOT:PSS,deep eutectic solvent,material_entity,material_system,0.3370741605758667,36,11,11,36,46,4,4,46,0.0869565217391304,30,1,31,6.333333333333333,0.0,10,7,7,0.175,2.158804614988622,396,1,1,0,1,0,0,0,0,0,0,2022,2023-2026,0,0.4265075854164151,0.1438539505077399,0.7970404984423676,0.615441329179647,0.7819314641744548,0,134,M,M,M-M,material-material,iTE-to-TG
17,C1DF01A6473,C9910E60ABA,PEDOT:PSS,carbon nanotube,material_entity,material_entity,0.4067261517047882,36,28,28,36,46,33,33,46,0.717391304347826,30,20,50,6.333333333333333,4.666666666666667,10,13,14,0.28,4.648823831304995,1008,1,1,1,1,0,0,0,11,11,0,2022,2023-2026,0,0.515329312875991,0.1020437940187771,0.7311526479750778,0.8380269989615784,0.7800623052959501,0,136,M,M,M-M,material-material,iTE-to-TG
18,C2866DCD56B,C37031A3390,PEDOT,cellulose,material_entity,material_entity,0.4413255155086517,44,22,22,44,55,12,12,55,0.2181818181818181,34,10,44,6.0,2.6666666666666665,10,5,8,0.1379310344827586,2.3310510127556032,968,1,1,1,1,0,0,2,1,3,1,2022,2023-2026,0,0.3771703927434118,0.1227651077790706,0.7662512980269989,0.676552440290758,0.7738317757009345,0,146,M,M,M-M,material-material,iTE-to-TG
19,C2866DCD56B,C9910E60ABA,PEDOT,carbon nanotube,material_entity,material_entity,0.4305654764175415,44,28,28,44,55,33,33,55,0.6,34,20,54,6.0,4.666666666666667,10,13,16,0.2857142857142857,5.2733469274599525,1232,1,1,1,1,0,0,2,11,13,1,2022,2023-2026,0,0.5503963208517253,0.0926826232088401,0.708515057113188,0.8627206645898233,0.7651090342679128,0,154,M,M,M-M,material-material,iTE-to-TG
20,C6181968680,CF840763400,graphene,TiO2,material_entity,material_entity,0.4228570759296417,28,9,9,28,19,21,19,21,0.9047619047619048,12,2,14,3.0,-1.0,10,18,4,0.1212121212121212,1.1150220667992945,252,1,1,1,1,0,0,6,1,7,1,2022,2023-2026,0,0.5404203266247645,0.1805990978613178,0.8593977154724818,0.4135410176531671,0.7644859813084112,0,155,M,M,M-M,material-material,iTE-to-TG
21,C2DA63DEF6B,CF00FA35255,NO3,HNO3,material_entity,material_entity,0.7886918187141418,7,7,7,7,2,2,2,2,1.0,0,0,0,0.0,0.0,15,15,6,0.75,1.9566905708390188,49,1,1,1,1,0,0,1,0,1,0,2022,2023-2026,0,0.4088711050460509,0.1538661038276857,0.8067497403946002,0.5286708203530633,0.7634475597092419,0,156,M,M,M-M,material-material,iTE-to-TG
22,C06F57A9BCA,C7802AE4324,polymer electrolyte,deep eutectic solvent,material_system,material_system,0.5795574188232422,13,11,11,13,9,4,4,9,0.4444444444444444,4,1,5,0.6666666666666666,0.0,19,7,5,0.2631578947368421,1.5710317919035046,143,1,1,1,1,0,0,2,0,2,0,2022,2023-2026,0,0.2216082591915113,0.1701948660826783,0.8223260643821391,0.4900519210799585,0.7632398753894082,0,157,M,M,M-M,material-material,iTE-to-TG
23,C1AAB990F48,C9910E60ABA,SiO2,carbon nanotube,material_entity,material_entity,0.3570426106452942,3,28,3,28,4,33,4,33,0.1212121212121212,3,20,23,0.6666666666666666,4.666666666666667,4,13,2,0.0689655172413793,0.6144584062557255,84,1,1,1,1,0,0,1,11,12,1,2022,2023-2026,0,0.597463629438483,0.2168861036565158,0.8980269989615784,0.2957528556593977,0.7595015576323987,0,160,M,M,M-M,material-material,iTE-to-TG
