layer_rank,concept_u_id,concept_v_id,concept_u,concept_v,u_type,v_type,semantic_similarity,degree_u,degree_v,degree_min,degree_max,document_frequency_u,document_frequency_v,frequency_min,frequency_max,frequency_balance,recent_frequency_u,recent_frequency_v,recent_frequency_sum,trend_u,trend_v,age_u,age_v,common_neighbors,jaccard,adamic_adar,preferential_attachment,shortest_path,same_component,same_type,material_material_pair,material_mechanism_pair,mechanism_mechanism_pair,cutoff_year,future_window,future_edge_label,logistic_score,random_forest_score,ml_score,graph_score,hybrid_score,predicted_class,hybrid_rank,concept_u_layer,concept_v_layer,pair_layer,pair_layer_name
1,C10C4FF4B6C,CA8C62A4868,hydrogen bonding,redox reaction entropy,solvation_entropy,solvation_entropy,0.6408513784408569,18,27,18,27,5,11,5,11,0.4545454545454545,5,3,8,1.6666666666666667,-0.3333333333333333,1,22,8,0.2162162162162162,2.621744818351254,486,2,1,1,0,0,1,2022,2023-2026,1,0.6274513441185934,0.1414196279942257,0.8118567311650885,0.9388431453272952,0.8494853849320708,0,235,P,P,P-P,physicochemical mechanism-physicochemical mechanism
2,C25D09DDC57,CA8C62A4868,Fe2+/Fe3+ solvation redox chemistry,redox reaction entropy,redox_chemistry,solvation_entropy,0.5898346900939941,28,27,27,28,19,11,11,19,0.5789473684210527,8,3,11,0.3333333333333333,-0.3333333333333333,27,22,8,0.1702127659574468,2.9914704495560347,756,2,1,0,0,0,1,2022,2023-2026,1,0.3696656854798223,0.3147600107582772,0.9790037052284892,0.9352037875669,0.9831206257719226,1,3,P,P,P-P,physicochemical mechanism-physicochemical mechanism
3,C188B56F6F1,C3002C089A5,ion-selectivity membrane transport,ionic thermodiffusion (Soret effect),transport_mechanism,transport_mechanism,0.4708307981491089,16,24,16,24,9,15,9,15,0.6,3,7,10,0.0,2.0,28,27,6,0.1764705882352941,3.220191680164114,384,2,1,1,0,0,1,2022,2023-2026,1,0.9002390877300224,0.2166599532797734,0.916838205022643,0.9219308357348702,0.9333058871963772,1,58,P,P,P-P,physicochemical mechanism-physicochemical mechanism
4,C25D09DDC57,C275FB7C4B0,Fe2+/Fe3+ solvation redox chemistry,iodide/triiodide redox chemistry,redox_chemistry,redox_chemistry,0.5116666555404663,28,24,24,28,19,8,8,19,0.4210526315789473,8,2,10,0.3333333333333333,0.0,27,7,7,0.1555555555555555,2.0938427341654053,672,2,1,1,0,0,1,2022,2023-2026,0,0.2930605650938978,0.2538640601435514,0.9538904899135446,0.9201029230135858,0.9628653766982298,1,19,P,P,P-P,physicochemical mechanism-physicochemical mechanism
5,C3002C089A5,C872881EC3C,ionic thermodiffusion (Soret effect),gel-confined redox transport,transport_mechanism,gel_microstructure,0.3004824519157409,24,22,22,24,15,7,7,15,0.4666666666666667,7,7,14,2.0,2.3333333333333335,27,2,9,0.2432432432432432,2.8818767714813247,528,2,1,0,0,0,1,2022,2023-2026,1,0.79134943899922,0.1833993541050267,0.8785508439687114,0.9186084808563192,0.9025113215314944,0,109,P,P,P-P,physicochemical mechanism-physicochemical mechanism
6,C3002C089A5,C5E47CC0A62,ionic thermodiffusion (Soret effect),Hofmeister/chaotropic effect,transport_mechanism,gel_microstructure,0.3875212073326111,24,10,10,24,15,2,2,15,0.1333333333333333,7,1,8,2.0,0.0,27,4,6,0.2142857142857142,1.893733539928364,240,2,1,0,0,0,1,2022,2023-2026,0,0.7556155971968302,0.2387626341182721,0.939069575957184,0.898888431453273,0.9505146150679292,1,33,P,P,P-P,physicochemical mechanism-physicochemical mechanism
7,C872881EC3C,CA8C62A4868,gel-confined redox transport,redox reaction entropy,gel_microstructure,solvation_entropy,0.3110070824623108,22,27,22,27,7,11,7,11,0.6363636363636364,7,3,10,2.3333333333333335,-0.3333333333333333,2,22,7,0.1666666666666666,2.181472962592294,594,2,1,0,0,0,1,2022,2023-2026,1,0.5108457928503394,0.1627537946198912,0.8517908604363936,0.8988102099629476,0.8806093042404282,0,151,P,P,P-P,physicochemical mechanism-physicochemical mechanism
8,C45C8AAD12E,C872881EC3C,charge-transfer resistance engineering,gel-confined redox transport,electrode_interface,gel_microstructure,0.2518845796585083,21,22,21,22,8,7,7,8,0.875,1,7,8,-0.6666666666666666,2.3333333333333335,31,2,8,0.2285714285714285,2.3195714726350647,462,2,1,0,0,0,1,2022,2023-2026,1,0.4238531860590052,0.0898732527323592,0.6257719226018937,0.8927748044462741,0.6997118155619596,0,660,P,P,P-P,physicochemical mechanism-physicochemical mechanism
9,C188B56F6F1,C25D09DDC57,ion-selectivity membrane transport,Fe2+/Fe3+ solvation redox chemistry,transport_mechanism,redox_chemistry,0.2765589952468872,16,28,16,28,9,19,9,19,0.4736842105263157,3,8,11,0.0,0.3333333333333333,28,27,6,0.1578947368421052,1.8992629518590252,448,2,1,0,0,0,1,2022,2023-2026,1,0.5619310999348558,0.2144266033642755,0.9151914368052696,0.880922190201729,0.9302593659942364,1,63,P,P,P-P,physicochemical mechanism-physicochemical mechanism
10,C78D65254F9,CA8C62A4868,phase transition,redox reaction entropy,phase_or_species_transition,solvation_entropy,0.2062896490097046,18,27,18,27,5,11,5,11,0.4545454545454545,3,3,6,0.6666666666666666,-0.3333333333333333,6,22,8,0.2162162162162162,2.7419221000437757,486,2,1,0,0,0,1,2022,2023-2026,1,0.4495012887858986,0.2193100264387777,0.9193083573487032,0.8706628242074926,0.9328941951420338,1,60,P,P,P-P,physicochemical mechanism-physicochemical mechanism
